date,weather,weather_avccuracy,weather_kinshitu,rain,rain_non,rain_accuracy,rain_kinshitu,sun,sun_non,sun_accuracy,sun_kinshitu
2019/9/16,雨後一時曇,8,1,23.5,0,8,1,0.0,0,8,1
2019/9/17,晴,8,1,0,1,8,1,11.4,0,8,1
2019/9/18,雨時々曇一時晴,8,1,15.5,0,8,1,0.4,0,8,1
2019/9/19,曇一時雨後晴,8,1,0.0,0,8,1,7.9,0,8,1
2019/9/20,晴時々曇一時雨,8,1,0.0,0,8,1,10.0,0,8,1
2019/9/21,曇時々雨,8,1,0.0,0,8,1,0.1,0,8,1
2019/9/22,曇時々晴一時雨,8,1,18.0,0,8,1,4.4,0,8,1
2019/9/23,曇時々晴一時雨,8,1,1.5,0,8,1,4.3,0,8,1
2019/9/24,晴後曇時々雨,8,1,0.0,0,8,1,5.7,0,8,1
2019/9/25,晴一時雨,8,1,0.0,0,8,1,7.8,0,8,1
2019/9/26,曇後晴,8,1,0,1,8,1,7.2,0,8,1
2019/9/27,晴後一時曇,8,1,0,1,8,1,9.8,0,8,1
2019/9/28,晴一時雨後曇,8,1,0.0,0,8,1,5.3,0,8,1
2019/9/29,曇時々雨一時晴,8,1,0.0,0,8,1,1.9,0,8,1
2019/9/30,曇時々晴,8,1,0,1,8,1,4.2,0,8,1
2019/10/1,晴,8,1,0,1,8,1,9.8,0,8,1
2019/10/2,晴一時曇,8,1,0,1,8,1,9.3,0,8,1
2019/10/3,曇時々雨一時晴,8,1,0.0,0,8,1,2.8,0,8,1
2019/10/4,雨後晴一時曇、雷を伴う,8,1,7.5,0,8,1,6.2,0,8,1
2019/10/5,晴,8,1,0,1,8,1,10.9,0,8,1
2019/10/6,雨後曇一時晴,8,1,0.5,0,8,1,0.8,0,8,1
2019/10/7,曇時々晴一時雨,8,1,5.5,0,8,1,2.3,0,8,1
2019/10/8,曇後一時晴,8,1,3.5,0,8,1,4.2,0,8,1
2019/10/9,晴,8,1,0,1,8,1,10.7,0,8,1
2019/10/10,晴後曇一時雨,8,1,12.5,0,8,1,4.2,0,8,1
2019/10/11,雨時々曇,8,1,16.0,0,8,1,0.0,0,8,1
2019/10/12,大雨,8,1,192.5,0,8,1,0.0,0,8,1
2019/10/13,晴,8,1,0.0,0,8,1,11.1,0,8,1
2019/10/14,雨時々曇,8,1,6.5,0,8,1,0.0,0,8,1
2019/10/15,曇時々雨,8,1,0.5,0,8,1,0.8,0,8,1
2019/10/16,曇時々雨,8,1,0.0,0,8,1,0.2,0,8,1
2019/10/17,曇時々雨,8,1,1.0,0,8,1,0.0,0,8,1
2019/10/18,曇時々雨,8,1,5.0,0,8,1,0.0,0,8,1
2019/10/19,曇時々雨,8,1,43.5,0,8,1,0.4,0,8,1
2019/10/20,曇時々晴一時雨,8,1,0.0,0,8,1,2.5,0,8,1
2019/10/21,曇後一時雨,8,1,10.5,0,8,1,0.2,0,8,1
2019/10/22,雨時々曇,8,1,48.5,0,8,1,0.3,0,8,1
2019/10/23,晴後一時曇,8,1,0,1,8,1,8.7,0,8,1
2019/10/24,曇後一時雨,8,1,0.0,0,8,1,0.0,0,8,1
2019/10/25,大雨後一時曇、雷を伴う,8,1,100.0,0,8,1,0.0,0,8,1
2019/10/26,曇時々晴,8,1,0.0,0,8,1,5.4,0,8,1
2019/10/27,曇後時々晴,8,1,0.0,0,8,1,4.3,0,8,1
2019/10/28,晴時々曇,8,1,0,1,8,1,6.7,0,8,1
2019/10/29,雨,8,1,11.0,0,8,1,0.0,0,8,1
2019/10/30,晴,8,1,0,1,8,1,8.9,0,8,1
2019/10/31,曇後晴,8,1,0,1,8,1,5.8,0,8,1
2019/11/1,晴,8,1,0,1,8,1,10.0,0,8,1
2019/11/2,晴,8,1,0,1,8,1,7.9,0,8,1
2019/11/3,曇時々雨一時晴,8,1,0.0,0,8,1,1.3,0,8,1
2019/11/4,晴後一時曇,8,1,0.0,0,8,1,8.6,0,8,1
2019/11/5,晴,8,1,0,1,8,1,10.1,0,8,1
2019/11/6,晴,8,1,0,1,8,1,10.1,0,8,1
2019/11/7,晴後時々曇,8,1,0,1,8,1,7.5,0,8,1
2019/11/8,晴,8,1,0,1,8,1,8.7,0,8,1
2019/11/9,晴時々曇,8,1,0,1,8,1,4.8,0,8,1
2019/11/10,晴,8,1,0,1,8,1,9.8,0,8,1
2019/11/11,曇後晴時々雨,8,1,12.5,0,8,1,4.9,0,8,1
2019/11/12,晴,8,1,0,1,8,1,10.1,0,8,1
2019/11/13,曇時々晴一時雨,8,1,0.5,0,8,1,1.6,0,8,1
2019/11/14,曇時々雨後晴,8,1,0.5,0,8,1,4.7,0,8,1
2019/11/15,晴,8,1,0,1,8,1,7.8,0,8,1
2019/11/16,晴,8,1,0,1,8,1,9.9,0,8,1
2019/11/17,晴一時曇,8,1,0,1,8,1,9.1,0,8,1
2019/11/18,雨時々曇後晴,8,1,0.0,0,8,1,6.9,0,8,1
2019/11/19,晴時々曇,8,1,3.0,0,8,1,7.0,0,8,1
2019/11/20,晴時々曇,8,1,0,1,8,1,4.0,0,8,1
2019/11/21,晴,8,1,0,1,8,1,9.3,0,8,1
2019/11/22,大雨一時晴,8,1,52.5,0,8,1,0.0,0,8,1
2019/11/23,雨,8,1,29.0,0,8,1,0.0,0,8,1
2019/11/24,雨一時晴後曇,8,1,2.5,0,8,1,0.7,0,8,1
2019/11/25,霧一時雨後曇時々晴,8,1,0.0,0,8,1,2.5,0,8,1
2019/11/26,雨時々曇,8,1,0.0,0,8,1,0.0,0,8,1
2019/11/27,雨後時々曇,8,1,6.5,0,8,1,0.0,0,8,1
2019/11/28,雨,8,1,7.0,0,8,1,0.0,0,8,1
2019/11/29,晴,8,1,0,1,8,1,9.5,0,8,1
2019/11/30,晴,8,1,0,1,8,1,9.7,0,8,1
2019/12/1,晴時々曇,8,1,0,1,8,1,5.1,0,8,1
2019/12/2,大雨時々曇一時晴、雷を伴う,8,1,82.5,0,8,1,0.5,0,8,1
2019/12/3,雨時々曇後晴,8,1,0.0,0,8,1,7.2,0,8,1
2019/12/4,晴,8,1,0,1,8,1,9.7,0,8,1
2019/12/5,晴時々曇,8,1,0,1,8,1,6.4,0,8,1
2019/12/6,曇,8,1,0,1,8,1,0.0,0,8,1
2019/12/7,雨後時々曇,8,1,5.0,0,8,1,0.0,0,8,1
2019/12/8,晴,8,1,0,1,8,1,9.5,0,8,1
2019/12/9,曇時々晴,8,1,0.5,0,8,1,3.8,0,8,1
2019/12/10,曇一時雨,8,1,5.0,0,8,1,1.4,0,8,1
2019/12/11,晴後曇一時雨、雷を伴う,8,1,3.5,0,8,1,6.4,0,8,1
2019/12/12,晴,8,1,0,1,8,1,9.5,0,8,1
2019/12/13,曇,8,1,0,1,8,1,0.4,0,8,1
2019/12/14,晴,8,1,0,1,8,1,9.3,0,8,1
2019/12/15,晴時々曇,8,1,0,1,8,1,6.8,0,8,1
2019/12/16,晴,8,1,0,1,8,1,8.7,0,8,1
2019/12/17,雨後曇一時晴,8,1,3.5,0,8,1,1.4,0,8,1
2019/12/18,晴,8,1,0.5,0,8,1,7.6,0,8,1
2019/12/19,雨時々曇,8,1,0.0,0,8,1,0.0,0,8,1
2019/12/20,晴,8,1,0.0,0,5,1,6.9,0,5,1
2019/12/21,曇,8,1,0.0,0,8,1,0.1,0,8,1
2019/12/22,曇後時々雨,8,1,24.0,0,8,1,0.0,0,8,1
2019/12/23,曇一時雨後晴,8,1,9.0,0,8,1,3.1,0,8,1
2019/12/24,晴後一時曇,8,1,0,1,8,1,7.7,0,8,1
2019/12/25,曇一時雨後時々晴、みぞれを伴う,8,1,0.0,0,8,1,1.8,0,8,1
2019/12/26,曇後一時雨,8,1,0.0,0,8,1,0.1,0,8,1
2019/12/27,晴時々雨一時曇,8,1,0.0,0,8,1,6.3,0,8,1
2019/12/28,晴,8,1,0,1,8,1,8.6,0,8,1
2019/12/29,晴後時々曇,8,1,0,1,8,1,6.7,0,8,1
2019/12/30,雨時々曇,8,1,0.5,0,8,1,0.0,0,8,1
2019/12/31,晴時々曇,8,1,0.0,0,8,1,6.6,0,8,1
2020/1/1,晴,8,1,0,1,8,1,8.2,0,8,1
2020/1/2,晴時々曇,8,1,0,1,8,1,5.7,0,8,1
2020/1/3,晴,8,1,0,1,8,1,9.3,0,8,1
2020/1/4,晴後雨時々曇,8,1,0.0,0,8,1,4.7,0,8,1
2020/1/5,晴,8,1,0.0,0,8,1,9.7,0,8,1
2020/1/6,晴後一時曇,8,1,0,1,8,1,8.1,0,8,1
2020/1/7,曇時々晴後雨,8,1,1.5,0,8,1,0.5,0,8,1
2020/1/8,雨後曇時々晴,8,1,21.5,0,8,1,2.7,0,8,1
2020/1/9,晴,8,1,0.0,0,8,1,9.3,0,8,1
2020/1/10,晴一時曇,8,1,0.0,0,8,1,7.9,0,8,1
2020/1/11,晴時々曇,8,1,0.0,0,8,1,4.5,0,8,1
2020/1/12,曇時々晴一時雨,8,1,0.0,0,8,1,1.8,0,8,1
2020/1/13,晴,8,1,0,1,8,1,9.3,0,8,1
2020/1/14,晴,8,1,0,1,8,1,8.3,0,8,1
2020/1/15,曇一時雨後晴,8,1,11.5,0,8,1,3.6,0,8,1
2020/1/16,曇時々晴,8,1,0,1,8,1,4.4,0,8,1
2020/1/17,曇時々晴,8,1,0.0,0,8,1,3.6,0,8,1
2020/1/18,雨時々みぞれ,8,1,13.5,0,8,1,0.0,0,8,1
2020/1/19,晴後一時曇,8,1,0,1,8,1,8.0,0,8,1
2020/1/20,晴,8,1,0,1,8,1,9.7,0,8,1
2020/1/21,晴,8,1,0,1,8,1,9.6,0,8,1
2020/1/22,曇時々雪一時みぞれ後晴,8,1,0.0,0,8,1,2.9,0,8,1
2020/1/23,雨,8,1,6.5,0,8,1,0.0,0,8,1
2020/1/24,曇後時々晴,8,1,0,1,8,1,1.4,0,8,1
2020/1/25,曇後時々晴,8,1,0,1,8,1,2.8,0,8,1
2020/1/26,雨後曇,8,1,8.5,0,8,1,0.0,0,8,1
